DATA INICIAL,DATA FINAL,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
5/5/13,5/11/13,GASOLINA COMUM,8658,R$/l,"2,868","0,156","2,399","3,699","0,395","0,054","2,473","0,107","2,109","2,980","0,043"
5/5/13,5/11/13,GLP,8023,R$/13Kg,"40,890","4,204","27,000","62,000","10,892","0,103","29,998","4,664","15,870","45,000","0,155"
5/5/13,5/11/13,GNV,504,R$/m3,"1,781","0,156","1,399","2,409","0,420","0,088","1,361","0,153","1,010","1,872","0,112"
5/12/13,5/18/13,ETANOL HIDRATADO,8089,R$/l,"2,044","0,253","1,529","3,160","0,298","0,124","1,746","0,255","1,320","2,660","0,146"
5/12/13,5/18/13,ÓLEO DIESEL,6419,R$/l,"2,334","0,113","1,969","3,020","0,273","0,048","2,061","0,080","1,870","2,607","0,039"
5/12/13,5/18/13,ÓLEO DIESEL S10,2257,R$/l,"2,435","0,121","2,190","3,100","0,275","0,050","2,160","0,087","1,955","2,653","0,040"
5/12/13,5/18/13,GASOLINA COMUM,8656,R$/l,"2,865","0,157","2,380","3,699","0,398","0,055","2,467","0,110","2,109","2,980","0,045"
5/12/13,5/18/13,GLP,8028,R$/13Kg,"40,910","4,134","27,000","62,000","10,867","0,101","30,043","4,593","15,870","45,000","0,153"
5/12/13,5/18/13,GNV,520,R$/m3,"1,773","0,159","1,379","2,409","0,405","0,090","1,368","0,159","0,952","1,872","0,116"
5/19/13,5/25/13,ETANOL HIDRATADO,8088,R$/l,"2,010","0,271","1,399","3,160","0,320","0,135","1,690","0,281","1,280","2,501","0,166"
5/19/13,5/25/13,ÓLEO DIESEL,6469,R$/l,"2,333","0,115","1,988","3,060","0,274","0,049","2,059","0,082","1,740","2,607","0,040"
5/19/13,5/25/13,ÓLEO DIESEL S10,2248,R$/l,"2,425","0,122","2,169","3,050","0,266","0,050","2,159","0,086","1,949","2,653","0,040"
5/19/13,5/25/13,GASOLINA COMUM,8646,R$/l,"2,856","0,163","2,369","3,699","0,394","0,057","2,462","0,114","2,100","2,980","0,046"
5/19/13,5/25/13,GLP,8022,R$/13Kg,"40,881","4,178","27,000","62,000","10,946","0,102","29,935","4,632","15,870","45,000","0,155"
5/19/13,5/25/13,GNV,511,R$/m3,"1,766","0,169","1,399","2,409","0,424","0,096","1,342","0,162","0,952","1,844","0,121"
5/26/13,6/1/13,ETANOL HIDRATADO,8071,R$/l,"1,986","0,282","1,389","3,160","0,325","0,142","1,661","0,286","1,235","2,501","0,172"
5/26/13,6/1/13,ÓLEO DIESEL,6433,R$/l,"2,334","0,114","1,999","3,060","0,276","0,049","2,058","0,082","1,834","2,607","0,040"
5/26/13,6/1/13,ÓLEO DIESEL S10,2306,R$/l,"2,431","0,121","2,169","3,050","0,266","0,050","2,165","0,089","1,949","2,653","0,041"
5/26/13,6/1/13,GASOLINA COMUM,8646,R$/l,"2,853","0,164","2,329","3,699","0,393","0,057","2,460","0,113","2,100","2,980","0,046"
5/26/13,6/1/13,GLP,8020,R$/13Kg,"40,925","4,150","27,000","62,000","10,978","0,101","29,947","4,650","15,870","45,000","0,155"
5/26/13,6/1/13,GNV,505,R$/m3,"1,779","0,160","1,399","2,599","0,400","0,090","1,379","0,156","0,952","1,844","0,113"
